fips,wage,employment
01001,24803.96302578019,8844
01003,21926.45079148272,40999
01005,22849.065015166834,9890
01007,20039.409530900968,2686
01009,21934.782148670645,7372
01011,20437.665465032445,2774
01013,20732.829733163915,5509
01015,23512.288642796295,36391
01017,25074.842758491974,10716
01019,20769.762326869804,3610
01021,21080.87942739079,6776
01023,38249.74580801944,4115
01025,23886.008173374612,8075
01027,20621.15794550277,4147
01029,23851.65808170515,2252
01031,20308.59765788373,11955
01033,25948.38877489439,16570
01035,24428.602743811512,3353
01037,26482.501291989665,1548
01039,22569.05455883706,10869
01041,22068.54344262295,2440
01043,24743.52376902417,22340
01045,27980.998062178784,11869
01047,22920.70999030068,14434
01049,23395.599572927305,21542
01051,22215.995628849592,10066
01053,24555.274991556907,11844
01055,24941.62883168563,32166
01057,22429.301793298724,4238
01059,20908.11109893722,9127
01061,19604.4536643026,4230
01063,24041.433486238533,1308
01065,20536.967846820808,2768
01067,23296.823120149853,3737
01069,26127.291634670168,40369
01071,25525.949457975505,14206
01073,33602.49618157836,328277
01075,25038.879386939137,4502
01077,21690.8562886348,24751
01079,35212.493840985444,5358
01081,21918.595406724886,29086
01083,33490.130971485,16202
01085,32156.810039370077,2032
01087,17334.70538023797,3866
01089,34112.112644819594,120840
01091,24916.81200435391,6431
01093,24008.3947265625,10240
01095,23291.137155686618,29842
01097,28212.987053812634,142513
01099,29829.042264150943,7950
01101,27376.93330246853,101518
01103,29005.93039069072,42796
01105,19407.577353215285,2146
01107,22186.238752249552,3334
01109,22164.396526469973,9558
01111,20451.289102707542,4469
01113,25261.380130175374,11062
01115,23141.830833942942,10936
01117,32498.653031643084,40704
01119,21885.562228654126,2764
01121,26111.275167785236,20562
01123,23310.062792877226,13871
01125,28461.673940593373,57603
01127,23057.310760861983,14339
01129,44409.72765837104,3536
01131,35028.767785771386,2502
01133,21585.234367868554,8764
02013,32667.838850174216,1148
02016,34908.66580310881,2702
02020,34505.03781933463,102831
02050,24429.959714990408,3649
02060,31031.40200286123,699
02068,32608.722752043595,1468
02070,28858.28229398664,1796
02090,30621.469019885735,22579
02100,25725.238693467338,796
02110,27685.410816224336,9985
02122,32867.61296583851,12880
02130,30103.10628825821,5391
02150,28296.08600682594,4395
02164,26351.559772296016,527
02170,25076.857096354168,9216
02180,26631.64285714286,2072
02185,71342.0906641306,6309
02188,45229.26123301985,1914
02201,27511.05407725322,1165
02220,26823.60236886633,2955
02232,28550.827715355805,1068
02240,24567.0,957
02261,38061.4244085401,3466
02270,16724.989749430522,878
02280,25470.776497695853,1736
02282,26917.785211267605,284
02290,23972.564231738037,794
04001,21199.560772587683,12374
04003,22148.38585812357,21850
04005,21881.388871465162,38262
04007,24560.48456475387,10787
04009,18450.744975145884,4627
04011,38866.583732057414,3971
04012,19479.70168695281,4683
04013,35083.86400068069,1363323
04015,21958.099738001667,33588
04017,22396.437161489997,18094
04019,28278.43387179214,271949
04021,26060.60907781512,27077
04023,24499.65331858407,9040
04025,22517.74247228572,40683
04027,19806.538205675224,43593
05001,24978.562135319677,8055
05003,31287.617304296644,8495
05005,22416.923694147263,12712
05007,32649.252559033583,63989
05009,23157.86374903838,11699
05011,22118.05296950241,3115
05013,31453.22265778126,2551
05015,18822.513884166383,8823
05017,18673.309252997235,3253
05019,20431.381242532854,8370
05021,18218.653300076745,5212
05023,20286.56643982808,5584
05025,17998.394150417826,718
05027,24984.808436486,8321
05029,25301.392226811866,5326
05031,24681.220228578197,33774
05033,24256.523003737682,14715
05035,23025.43853327681,14154
05037,21969.08165475417,4617
05039,22373.144825268817,2976
05041,24807.38611111111,4320
05043,20165.556397451353,5807
05045,26298.008320621273,28844
05047,20721.18243036425,3267
05049,16143.051012753189,1333
05051,22703.819179798247,30334
05053,22731.03367113436,3059
05055,22984.32342736461,13258
05057,21477.30536870161,7879
05059,23994.12231352718,6328
05061,20939.32153584955,7657
05063,23595.937273739906,14364
05065,18900.395209580838,2171
05067,22578.13874719445,4901
05069,25400.082581869956,27391
05071,20061.62976457399,7136
05073,21952.249819494584,1385
05075,19475.15824357912,3621
05077,19811.997642899234,1697
05079,20029.41379310345,1972
05081,37955.51940700808,3710
05083,20982.71603348358,4659
05085,20920.550637311702,8630
05087,20904.76464891041,2065
05089,18699.8696908408,3461
05091,25305.36622488243,11695
05093,27086.021722643552,18460
05095,17261.002976190477,2352
05097,17523.6660730187,1123
05099,24763.653163152052,1802
05101,13490.456260720412,583
05103,23205.865515674694,6603
